"id_fait_note";"id_etudiant_dim";"id_filiere_dim";"id_niveau_dim";"id_enseignant_dim";"id_matiere_dim";"id_session_dim";"ID_DATE";"note_obtenue";"note_pourcentage";"coefficient_applique";"note_ponderee";"commentaire";"date_chargement"
1;1;2;1;49;1;1;20260530;14.5;72.5;3.0;43.5;"Bon travail sur les tris";"2026-06-03 11:55:34"
2;1;1;2;101;2;1;20260530;12.75;63.75;3.0;38.25;"Maîtrise partielle de l'héritage";"2026-06-03 11:55:34"
3;1;1;1;19;3;1;20260530;16.0;80.0;2.5;40.0;"Excellentes requêtes SQL";"2026-06-03 11:55:34"
4;1;1;2;67;5;1;20260530;11.25;56.25;2.5;28.13;"Gestion mémoire à retravailler";"2026-06-03 11:55:34"
5;2;2;1;49;1;1;20260530;9.5;47.5;3.0;28.5;"Difficultés sur la récursivité";"2026-06-03 11:55:34"
6;2;2;1;49;1;2;20260530;12.0;60.0;3.0;36.0;"Progrès notables";"2026-06-03 11:55:34"
7;2;2;1;60;13;1;20260530;15.25;76.25;2.5;38.13;"Bonne maîtrise de Hadoop";"2026-06-03 11:55:34"
8;3;3;4;29;11;1;20260530;17.5;87.5;3.0;52.5;"Excellent sur les réseaux de neurones";"2026-06-03 11:55:34"
9;3;3;1;70;12;1;20260530;18.0;90.0;3.0;54.0;"Très bonne implémentation scikit-learn";"2026-06-03 11:55:34"
10;4;4;2;104;4;1;20260530;13.0;65.0;2.0;26.0;"Protocoles bien compris";"2026-06-03 11:55:34"
11;4;4;4;85;10;1;20260530;16.75;83.75;2.5;41.88;"Bonne analyse des vulnérabilités";"2026-06-03 11:55:34"
12;5;2;1;49;1;1;20260530;15.5;77.5;3.0;46.5;"Bon algorithme de tri rapide";"2026-06-03 11:55:34"
13;5;1;1;4;6;1;20260530;14.0;70.0;2.0;28.0;"CSS maîtrisé, JS à améliorer";"2026-06-03 11:55:34"
14;6;5;1;2;16;1;20260530;13.5;67.5;3.0;40.5;"Série de Taylor correcte";"2026-06-03 11:55:34"
15;6;5;2;20;17;1;20260530;11.0;55.0;3.0;33.0;"Déterminants à revoir";"2026-06-03 11:55:34"
16;7;6;3;47;18;1;20260530;17.0;85.0;3.0;51.0;"Excellent calcul de probabilités";"2026-06-03 11:55:34"
17;7;6;4;93;22;1;20260530;16.5;82.5;2.5;41.25;"Tests d'hypothèses bien maîtrisés";"2026-06-03 11:55:34"
18;8;8;1;8;25;1;20260530;10.0;50.0;3.0;30.0;"Lois de Newton partiellement acquises";"2026-06-03 11:55:34"
19;8;8;1;8;25;2;20260530;12.5;62.5;3.0;37.5;"Amélioration constatée";"2026-06-03 11:55:34"
20;8;8;4;78;26;1;20260530;14.25;71.25;3.0;42.75;"Loi de Gauss maîtrisée";"2026-06-03 11:55:34"
21;9;8;1;33;27;1;20260530;15.75;78.75;2.5;39.38;"Premier principe bien appliqué";"2026-06-03 11:55:35"
22;9;8;3;68;28;1;20260530;13.0;65.0;2.0;26.0;"Interférences comprises";"2026-06-03 11:55:35"
23;14;15;5;90;40;1;20260530;14.0;70.0;2.0;28.0;"Fonctions du management bien acquises";"2026-06-03 11:55:35"
24;14;13;4;44;43;1;20260530;12.5;62.5;2.5;31.25;"Recrutement et formation analysés";"2026-06-03 11:55:35"
25;15;14;1;59;41;1;20260530;16.0;80.0;3.0;48.0;"Bilan comptable sans erreur";"2026-06-03 11:55:35"
26;15;14;3;24;44;1;20260530;15.0;75.0;3.0;45.0;"Calcul VAN maîtrisé";"2026-06-03 11:55:35"
27;16;16;4;82;47;1;20260530;9.5;47.5;3.0;28.5;"Courbes offre/demande à revoir";"2026-06-03 11:55:35"
28;16;16;4;82;47;2;20260530;11.5;57.5;3.0;34.5;"Légère amélioration";"2026-06-03 11:55:35"
29;17;16;3;46;50;1;20260530;13.75;68.75;2.5;34.38;"MCO bien appliqué";"2026-06-03 11:55:35"
30;18;18;2;48;51;1;20260530;15.25;76.25;2.5;38.13;"Bonne maîtrise des sources du droit";"2026-06-03 11:55:35"
31;18;18;4;91;52;1;20260530;14.0;70.0;3.0;42.0;"Obligations contractuelles bien traitées";"2026-06-03 11:55:35"
32;19;17;3;98;53;1;20260530;17.0;85.0;2.5;42.5;"Constitution analysée avec précision";"2026-06-03 11:55:35"
33;19;17;4;66;54;1;20260530;16.5;82.5;2.5;41.25;"Recours administratifs bien expliqués";"2026-06-03 11:55:35"
34;20;19;3;79;56;1;20260530;11.0;55.0;3.0;33.0;"Moments fléchissants à retravailler";"2026-06-03 11:55:35"
35;20;19;3;79;56;2;20260530;13.0;65.0;3.0;39.0;"Bonne reprise";"2026-06-03 11:55:35"
36;20;19;1;40;57;1;20260530;12.75;63.75;2.5;31.88;"Équation de Bernoulli bien utilisée";"2026-06-03 11:55:35"
37;21;20;2;88;60;1;20260530;14.5;72.5;3.0;43.5;"Transformée de Fourier maîtrisée";"2026-06-03 11:55:35"
38;21;20;3;62;63;1;20260530;13.0;65.0;2.5;32.5;"Couche transport bien comprise";"2026-06-03 11:55:35"
39;22;3;4;29;11;1;20260530;16.25;81.25;3.0;48.75;"Excellent projet de reconnaissance d'images";"2026-06-03 11:55:35"
40;23;6;3;47;18;1;20260530;15.0;75.0;3.0;45.0;"Loi normale bien manipulée";"2026-06-03 11:55:35"
41;24;2;1;49;1;1;20260530;19.0;95.0;3.0;57.0;"Algorithme de Dijkstra parfait";"2026-06-03 11:55:35"
42;24;1;1;19;3;1;20260530;18.5;92.5;2.5;46.25;"Modélisation conceptuelle impeccable";"2026-06-03 11:55:35"
43;25;8;1;8;25;1;20260530;8.0;40.0;3.0;24.0;"Cinématique à retravailler";"2026-06-03 11:55:35"
44;25;8;1;8;25;2;20260530;10.5;52.5;3.0;31.5;"Effort remarqué";"2026-06-03 11:55:35"
45;26;2;1;60;13;1;20260530;16.0;80.0;2.5;40.0;"Spark bien maîtrisé";"2026-06-03 11:55:35"
46;27;15;5;90;40;1;20260530;13.5;67.5;2.0;27.0;"Conception organisationnelle correcte";"2026-06-03 11:55:35"
47;28;13;1;92;42;1;20260530;14.0;70.0;2.5;35.0;"Segmentation bien réalisée";"2026-06-03 11:55:35"
48;29;15;3;21;49;1;20260530;15.5;77.5;2.5;38.75;"Balance des paiements maîtrisée";"2026-06-03 11:55:35"
49;30;14;3;24;44;1;20260530;17.25;86.25;3.0;51.75;"Excellent calcul de rentabilité";"2026-06-03 11:55:35"
50;31;16;4;82;47;1;20260530;12.0;60.0;3.0;36.0;"Élasticité bien traitée";"2026-06-03 11:55:35"
51;32;8;1;8;25;1;20260530;14.75;73.75;3.0;44.25;"Travail de dynamique bien fait";"2026-06-03 11:55:35"
52;33;5;1;2;16;1;20260530;10.5;52.5;3.0;31.5;"Suites à retravailler";"2026-06-03 11:55:35"
53;33;5;1;2;16;2;20260530;13.0;65.0;3.0;39.0;"Bonne progression";"2026-06-03 11:55:35"
54;34;19;3;79;56;1;20260530;18.0;90.0;3.0;54.0;"Excellent calcul de structures";"2026-06-03 11:55:35"
55;35;2;1;60;13;1;20260530;17.5;87.5;2.5;43.75;"MongoDB bien maîtrisé";"2026-06-03 11:55:35"
56;36;2;1;49;1;1;20260530;11.5;57.5;3.0;34.5;"Récursivité partiellement acquise";"2026-06-03 11:55:35"
57;37;19;4;94;59;1;20260530;15.0;75.0;3.0;45.0;"Ferraillage correct";"2026-06-03 11:55:35"
58;38;17;3;98;53;1;20260530;16.75;83.75;2.5;41.88;"Principes constitutionnels bien maîtrisés";"2026-06-03 11:55:35"
59;39;6;4;93;22;1;20260530;14.25;71.25;2.5;35.63;"Intervalle de confiance bien calculé";"2026-06-03 11:55:35"
60;40;18;2;48;51;1;20260530;13.0;65.0;2.5;32.5;"Sources du droit bien identifiées";"2026-06-03 11:55:35"
61;41;6;3;47;18;1;20260530;15.75;78.75;3.0;47.25;"Loi de Poisson bien appliquée";"2026-06-03 11:55:35"
62;42;20;2;88;60;1;20260530;16.0;80.0;3.0;48.0;"FFT bien maîtrisée";"2026-06-03 11:55:35"
63;43;8;4;78;26;1;20260530;12.5;62.5;3.0;37.5;"Loi de Faraday appliquée";"2026-06-03 11:55:35"
64;44;4;4;85;10;1;20260530;18.25;91.25;2.5;45.63;"Analyse de vulnérabilité réseau excellente";"2026-06-03 11:55:35"
65;45;8;4;78;26;1;20260530;9.5;47.5;3.0;28.5;"Champ magnétique à retravailler";"2026-06-03 11:55:35"
66;45;8;4;78;26;2;20260530;11.0;55.0;3.0;33.0;"Amélioration constatée";"2026-06-03 11:55:35"
67;46;20;2;88;60;1;20260530;17.0;85.0;3.0;51.0;"Filtres numériques bien conçus";"2026-06-03 11:55:35"
68;47;20;2;88;60;1;20260530;14.5;72.5;3.0;43.5;"Bonne analyse spectrale";"2026-06-03 11:55:35"
69;48;14;3;24;44;1;20260530;15.25;76.25;3.0;45.75;"Calcul de WACC exact";"2026-06-03 11:55:35"
70;49;19;4;94;59;1;20260530;13.5;67.5;3.0;40.5;"Calcul des armatures correct";"2026-06-03 11:55:35"
71;50;11;4;64;36;1;20260530;16.0;80.0;2.5;40.0;"Génétique mendélienne bien acquise";"2026-06-03 11:55:35"
72;51;8;1;8;25;1;20260530;17.25;86.25;3.0;51.75;"Excellent en dynamique des fluides";"2026-06-03 11:55:35"
73;52;8;1;33;27;1;20260530;14.0;70.0;2.5;35.0;"Cycles thermodynamiques bien traités";"2026-06-03 11:55:35"
74;53;15;5;90;40;1;20260530;13.75;68.75;2.0;27.5;"École de management bien analysée";"2026-06-03 11:55:35"
75;54;10;3;87;34;1;20260530;15.0;75.0;3.0;45.0;"Enzymologie bien maîtrisée";"2026-06-03 11:55:35"
76;55;12;1;12;35;1;20260530;16.5;82.5;3.0;49.5;"Mitose/méiose parfaitement expliquée";"2026-06-03 11:55:35"
77;56;1;1;19;3;1;20260530;18.5;92.5;2.5;46.25;"Modèle E/R impeccable";"2026-06-03 11:55:35"
78;57;20;4;107;61;1;20260530;14.0;70.0;2.5;35.0;"Modulation AM/FM correcte";"2026-06-03 11:55:35"
79;58;4;4;85;10;1;20260530;7.5;37.5;2.5;18.75;"Cryptographie à revoir";"2026-06-03 11:55:35"
80;58;4;4;85;10;2;20260530;10.0;50.0;2.5;25.0;"Notions de base acquises";"2026-06-03 11:55:35"
81;59;18;4;91;52;1;20260530;15.5;77.5;3.0;46.5;"Contrats spéciaux bien traités";"2026-06-03 11:55:35"
82;60;17;3;98;53;1;20260530;14.75;73.75;2.5;36.88;"Séparation des pouvoirs claire";"2026-06-03 11:55:35"
83;61;6;3;47;18;1;20260530;12.0;60.0;3.0;36.0;"Statistiques biologiques correctes";"2026-06-03 11:55:35"
84;62;3;4;29;11;1;20260530;17.75;88.75;3.0;53.25;"Réseau neuronal convolutif bien implémenté";"2026-06-03 11:55:35"
85;63;12;3;56;37;1;20260530;13.25;66.25;2.5;33.13;"Bactériologie bien maîtrisée";"2026-06-03 11:55:35"
86;64;6;4;93;22;1;20260530;16.0;80.0;2.5;40.0;"Régressions multiples bien appliquées";"2026-06-03 11:55:35"
87;65;18;5;96;55;1;20260530;14.5;72.5;2.5;36.25;"Contrats de travail bien analysés";"2026-06-03 11:55:35"
88;66;20;4;107;61;1;20260530;15.75;78.75;2.5;39.38;"Codage numérique bien maîtrisé";"2026-06-03 11:55:35"
89;67;2;1;49;1;1;20260530;18.75;93.75;3.0;56.25;"Algorithmique très avancée";"2026-06-03 11:55:35"
90;68;10;3;87;34;1;20260530;16.25;81.25;3.0;48.75;"Métabolisme des glucides bien expliqué";"2026-06-03 11:55:35"
91;69;5;2;20;17;1;20260530;11.0;55.0;3.0;33.0;"Diagonalisation à retravailler";"2026-06-03 11:55:35"
92;69;5;2;20;17;2;20260530;13.5;67.5;3.0;40.5;"Bonne reprise";"2026-06-03 11:55:35"
93;70;4;4;85;10;1;20260530;8.0;40.0;2.5;20.0;"Pare-feu à mieux comprendre";"2026-06-03 11:55:35"
94;70;4;4;85;10;2;20260530;11.25;56.25;2.5;28.13;"Effort fourni";"2026-06-03 11:55:35"
95;71;18;4;91;52;1;20260530;14.0;70.0;3.0;42.0;"Régime matrimonial bien traité";"2026-06-03 11:55:35"
96;72;9;3;99;31;1;20260530;13.0;65.0;3.0;39.0;"Synthèse organique correcte";"2026-06-03 11:55:35"
97;73;20;4;107;61;1;20260530;16.5;82.5;2.5;41.25;"Multiplexage WDM bien compris";"2026-06-03 11:55:35"
98;74;11;4;64;36;1;20260530;15.0;75.0;2.5;37.5;"Génétique des populations maîtrisée";"2026-06-03 11:55:35"
99;75;19;1;40;57;1;20260530;12.75;63.75;2.5;31.88;"Équation de continuité bien appliquée";"2026-06-03 11:55:35"
100;76;16;3;46;50;1;20260530;14.25;71.25;2.5;35.63;"Séries temporelles correctes";"2026-06-03 11:55:35"
101;77;2;1;49;1;1;20260530;13.5;67.5;3.0;40.5;"Algorithmes de graphe corrects";"2026-06-03 11:55:35"
102;78;14;3;24;44;1;20260530;16.75;83.75;3.0;50.25;"Analyse financière excellente";"2026-06-03 11:55:35"
103;79;2;1;60;13;1;20260530;17.0;85.0;2.5;42.5;"Pipeline de données bien conçu";"2026-06-03 11:55:35"
104;80;11;4;64;36;1;20260530;10.5;52.5;2.5;26.25;"Génétique quantitative à approfondir";"2026-06-03 11:55:35"
105;81;19;1;40;57;1;20260530;9.0;45.0;2.5;22.5;"Loi de Poiseuille à retravailler";"2026-06-03 11:55:35"
106;81;19;1;40;57;2;20260530;11.5;57.5;2.5;28.75;"Notions réacquises";"2026-06-03 11:55:35"
107;82;15;3;21;49;1;20260530;16.0;80.0;2.5;40.0;"Balance des paiements bien analysée";"2026-06-03 11:55:35"
108;83;14;1;59;41;1;20260530;17.5;87.5;3.0;52.5;"Plan comptable maîtrisé";"2026-06-03 11:55:35"
109;84;1;1;19;3;1;20260530;15.25;76.25;2.5;38.13;"Triggers SQL bien écrits";"2026-06-03 11:55:35"
110;85;3;1;70;12;1;20260530;18.25;91.25;3.0;54.75;"SVM et forêts aléatoires bien implémentés";"2026-06-03 11:55:35"
111;86;18;4;91;52;1;20260530;12.0;60.0;3.0;36.0;"Obligations légales à approfondir";"2026-06-03 11:55:35"
112;87;12;1;12;35;1;20260530;14.75;73.75;3.0;44.25;"PCR bien expliquée";"2026-06-03 11:55:35"
113;88;17;4;66;54;1;20260530;15.5;77.5;2.5;38.75;"Service public bien défini";"2026-06-03 11:55:35"
114;89;14;1;59;41;1;20260530;9.0;45.0;3.0;27.0;"Amortissements à retravailler";"2026-06-03 11:55:35"
115;89;14;1;59;41;2;20260530;12.0;60.0;3.0;36.0;"Bonne progression";"2026-06-03 11:55:35"
116;90;2;1;60;13;1;20260530;16.75;83.75;2.5;41.88;"Data Lake bien structuré";"2026-06-03 11:55:35"
117;91;12;1;12;35;1;20260530;13.5;67.5;3.0;40.5;"Cycle cellulaire bien compris";"2026-06-03 11:55:35"
118;92;12;3;56;37;1;20260530;15.0;75.0;2.5;37.5;"Identification bactérienne correcte";"2026-06-03 11:55:35"
119;93;8;4;78;26;1;20260530;11.75;58.75;3.0;35.25;"Loi d'Ampère à retravailler";"2026-06-03 11:55:35"
120;93;8;4;78;26;2;20260530;13.5;67.5;3.0;40.5;"Amélioration notée";"2026-06-03 11:55:35"
121;94;12;3;56;37;1;20260530;16.5;82.5;2.5;41.25;"Virologie bien développée";"2026-06-03 11:55:35"
122;95;14;3;24;44;1;20260530;14.0;70.0;3.0;42.0;"TRI bien calculé";"2026-06-03 11:55:35"
123;96;5;1;2;16;1;20260530;12.5;62.5;3.0;37.5;"Intégrales de Riemann correctes";"2026-06-03 11:55:35"
124;97;6;3;47;18;1;20260530;15.75;78.75;3.0;47.25;"Variable aléatoire bien maîtrisée";"2026-06-03 11:55:35"
125;98;16;4;82;47;1;20260530;13.0;65.0;3.0;39.0;"Courbe de demande bien tracée";"2026-06-03 11:55:35"
126;99;6;4;93;22;1;20260530;14.75;73.75;2.5;36.88;"ANOVA correctement appliquée";"2026-06-03 11:55:35"
127;100;14;1;59;41;1;20260530;16.25;81.25;3.0;48.75;"Liasse fiscale bien remplie";"2026-06-03 11:55:35"
128;101;3;4;29;11;1;20260530;17.0;85.0;3.0;51.0;"Réseaux de neurones récurrents excellents";"2026-06-03 11:55:35"
129;101;3;1;70;12;1;20260530;16.5;82.5;3.0;49.5;"Descente de gradient bien implémentée";"2026-06-03 11:55:35"
130;102;1;2;101;2;1;20260530;15.5;77.5;3.0;46.5;"POO avec Java bien maîtrisée";"2026-06-03 11:55:35"
131;102;1;3;76;8;1;20260530;14.0;70.0;3.0;42.0;"Design patterns bien utilisés";"2026-06-03 11:55:35"
132;103;5;2;20;17;1;20260530;12.0;60.0;3.0;36.0;"Algèbre linéaire à consolider";"2026-06-03 11:55:35"
133;103;5;2;20;17;2;20260530;14.0;70.0;3.0;42.0;"Bonne progression";"2026-06-03 11:55:35"
134;103;6;3;47;18;1;20260530;13.25;66.25;3.0;39.75;"Variables aléatoires continues acquises";"2026-06-03 11:55:35"
135;104;4;2;104;4;1;20260530;16.0;80.0;2.0;32.0;"VPN et cryptographie bien compris";"2026-06-03 11:55:35"
136;104;4;4;85;10;1;20260530;15.25;76.25;2.5;38.13;"Pentest bien réalisé";"2026-06-03 11:55:35"
137;105;13;1;92;42;1;20260530;16.0;80.0;2.5;40.0;"Mix marketing 4P bien développé";"2026-06-03 11:55:35"
138;105;13;4;44;43;1;20260530;14.5;72.5;2.5;36.25;"Plans de formation bien élaborés";"2026-06-03 11:55:35"
139;106;14;1;59;41;1;20260530;11.75;58.75;3.0;35.25;"Plan comptable à approfondir";"2026-06-03 11:55:35"
140;106;14;1;59;41;2;20260530;13.5;67.5;3.0;40.5;"Comptes bien passés";"2026-06-03 11:55:35"
141;107;2;1;49;1;1;20260530;17.5;87.5;3.0;52.5;"Complexité algorithmique maîtrisée";"2026-06-03 11:55:35"
142;107;2;1;60;13;1;20260530;18.0;90.0;2.5;45.0;"Kafka et Spark maîtrisés";"2026-06-03 11:55:35"
143;108;18;2;48;51;1;20260530;14.75;73.75;2.5;36.88;"Droit de la famille bien traité";"2026-06-03 11:55:35"
144;108;18;4;91;52;1;20260530;12.5;62.5;3.0;37.5;"Contrats de vente bien analysés";"2026-06-03 11:55:35"
145;109;19;3;79;56;1;20260530;15.0;75.0;3.0;45.0;"Poutres isostatiques correctes";"2026-06-03 11:55:35"
146;109;19;4;94;59;1;20260530;14.25;71.25;3.0;42.75;"Béton précontraint correct";"2026-06-03 11:55:35"
147;110;20;2;88;60;1;20260530;15.5;77.5;3.0;46.5;"Analyse de Fourier bien maîtrisée";"2026-06-03 11:55:35"
148;110;20;3;62;63;1;20260530;14.25;71.25;2.5;35.63;"Routage OSPF bien configuré";"2026-06-03 11:55:35"
149;111;6;4;93;22;1;20260530;16.0;80.0;2.5;40.0;"Régression logistique bien maîtrisée";"2026-06-03 11:55:35"
150;111;16;4;82;47;1;20260530;14.0;70.0;3.0;42.0;"Oligopole bien analysé";"2026-06-03 11:55:35"
151;112;17;3;98;53;1;20260530;13.75;68.75;2.5;34.38;"Contrôle de légalité correct";"2026-06-03 11:55:35"
152;112;17;4;66;54;1;20260530;16.25;81.25;2.5;40.63;"Actes administratifs bien classifiés";"2026-06-03 11:55:35"
153;113;12;1;12;35;1;20260530;15.0;75.0;3.0;45.0;"Transcription/traduction bien expliquée";"2026-06-03 11:55:35"
154;113;11;4;64;36;1;20260530;15.25;76.25;2.5;38.13;"Génétique des populations maîtrisée";"2026-06-03 11:55:35"
155;114;3;4;29;11;1;20260530;18.5;92.5;3.0;55.5;"Apprentissage par renforcement excellent";"2026-06-03 11:55:35"
156;114;3;1;70;12;1;20260530;19.0;95.0;3.0;57.0;"Modèle Transformer excellemment implémenté";"2026-06-03 11:55:35"
157;115;19;3;79;56;1;20260530;16.5;82.5;3.0;49.5;"Treillis et poutres très bien calculés";"2026-06-03 11:55:35"
158;115;19;2;58;58;1;20260530;13.0;65.0;2.0;26.0;"Lever topographique correct";"2026-06-03 11:55:35"
159;116;10;3;87;34;1;20260530;14.0;70.0;3.0;42.0;"Cycles de Krebs bien expliqués";"2026-06-03 11:55:35"
160;116;12;2;110;38;1;20260530;15.5;77.5;2.0;31.0;"Hormones et régulation bien expliquées";"2026-06-03 11:55:35"
161;117;12;3;56;37;1;20260530;13.5;67.5;2.5;33.75;"Antibiogramme bien interprété";"2026-06-03 11:55:35"
162;117;11;5;105;39;1;20260530;16.0;80.0;3.0;48.0;"Réponse immunitaire adaptative maîtrisée";"2026-06-03 11:55:35"
163;118;8;1;8;25;1;20260530;11.5;57.5;3.0;34.5;"Pendule à retravailler";"2026-06-03 11:55:35"
164;118;8;1;8;25;2;20260530;13.0;65.0;3.0;39.0;"Notions de base acquises";"2026-06-03 11:55:35"
165;118;8;3;68;28;1;20260530;12.0;60.0;2.0;24.0;"Diffraction bien comprise";"2026-06-03 11:55:35"
166;119;16;5;95;48;1;20260530;15.75;78.75;3.0;47.25;"Investissements directs étrangers bien traités";"2026-06-03 11:55:35"
167;119;16;3;46;50;1;20260530;14.25;71.25;2.5;35.63;"MCG correctement appliqué";"2026-06-03 11:55:35"
168;120;16;4;82;47;1;20260530;16.5;82.5;3.0;49.5;"Surplus du consommateur bien calculé";"2026-06-03 11:55:35"
169;120;15;3;21;49;1;20260530;17.25;86.25;2.5;43.13;"Termes de l'échange bien analysés";"2026-06-03 11:55:35"
